37393004,  37394527,    100101,  None
37393509,  37395030,    100101,  None
37394037,  37395546,    100101,  None
37394537,  37396060,    100101,  None
37395051,  37396575,    100101,  None
37395562,  37397090,    100101,  None
37396078,  37397609,    100101,  None
37396592,  37398121,    100101,  None
37397111,  37398633,    100101,  None
37397621,  37399139,    100101,  None
37398135,  37399667,    100101,  None
37398649,  37400182,    100101,  None
37399166,  37400681,    100101,  None
37399673,  37401209,    100101,  None
37400198,  37401719,    100101,  None
37400692,  37402222,    100101,  None
37401217,  37402734,    100101,  None
37401728,  37403252,    100101,  None
37402238,  37403764,    100101,  None
37402751,  37404279,    100101,  Shoulder Radio
37403285,  37404792,    100101,  Shoulder Radio
37403779,  37405307,    100101,  Shoulder Radio
37404296,  37405843,    100101,  Shoulder Radio
37404816,  37406337,    100101,  Shoulder Radio
37405328,  37406848,    100101,  Shoulder Radio
37405849,  37407407,    100101,  Shoulder Radio
37406364,  37407867,    100101,  Shoulder Radio
37406874,  37408384,    100101,  Shoulder Radio
37407417,  37408892,    100101,  Shoulder Radio
37407901,  37409408,    100101,  Shoulder Radio
37408401,  37409933,    100101,  Shoulder Radio
37408912,  37410439,    100101,  Shoulder Radio
37409426,  37410962,    100101,  Shoulder Radio
37409942,  37411466,    100101,  Shoulder Radio
37410456,  37411984,    100101,  Shoulder Radio
37410970,  37412497,    100101,  Shoulder Radio
37411486,  37413011,    100101,  None
37411995,  37413542,    100101,  None
37412513,  37414040,    100101,  None
37413027,  37414545,    100101,  None
37413549,  37415070,    100101,  None
37414056,  37415569,    100101,  None
37414556,  37416089,    100101,  None
37415075,  37416599,    100101,  None
37415586,  37417111,    100101,  None
37416100,  37417634,    100101,  None
37416612,  37418141,    100101,  None
37417128,  37418752,    100101,  None
37417644,  37419526,    100101,  None
37418162,  37420099,    100101,  None
37418805,  37420585,    100101,  None
37419533,  37420859,    100101,  None
37420109,  37421404,    100101,  None
37420597,  37421738,    100101,  None
37420926,  37422247,    100101,  None
37421409,  37422771,    100101,  None
37421763,  37423290,    100101,  None
37422256,  37423792,    100101,  None
37422777,  37424299,    100101,  None
37423299,  37424814,    100101,  None
37423806,  37425329,    100101,  None
37424317,  37425861,    100101,  Flashlight
37424835,  37426380,    100101,  Flashlight
37425347,  37426876,    100101,  Flashlight
37425869,  37427387,    100101,  Flashlight
37426388,  37427903,    100101,  Flashlight
37426893,  37428412,    100101,  Flashlight
37427394,  37428931,    100101,  Flashlight
37427920,  37429430,    100101,  Flashlight
37428422,  37429949,    100101,  Flashlight
37428936,  37430458,    100101,  Flashlight
37429464,  37430973,    100101,  Flashlight
37429965,  37431490,    100101,  Flashlight
37430474,  37432002,    100101,  Flashlight
37430995,  37432518,    100101,  Flashlight
37431506,  37433041,    100101,  Flashlight
37432019,  37433547,    100101,  Flashlight
37432537,  37434061,    100101,  Flashlight
37433048,  37434566,    100101,  Flashlight
37433564,  37435091,    100101,  Flashlight
37434080,  37435595,    100101,  Flashlight
37434591,  37436108,    100101,  Flashlight
37435098,  37436636,    100101,  Flashlight
37435634,  37437138,    100101,  Flashlight
37436121,  37437648,    100101,  Flashlight
37436642,  37438163,    100101,  Flashlight
37437151,  37438679,    100101,  Flashlight
37437667,  37439202,    100101,  Flashlight
37438182,  37439705,    100101,  Flashlight
37438697,  37440222,    100101,  Whistle
37439209,  37440736,    100101,  Whistle
37439722,  37441254,    100101,  Whistle
37440240,  37441765,    100101,  Whistle
37440752,  37442268,    100101,  Whistle
37441260,  37442793,    100101,  Whistle
37441783,  37443292,    100101,  Whistle
37442296,  37443817,    100101,  Whistle
37442799,  37444324,    100101,  Whistle
37443325,  37444834,    100101,  Whistle
37443828,  37445353,    100101,  Whistle
37444346,  37445867,    100101,  None
37444851,  37446383,    100101,  None
37445368,  37446894,    100101,  None
37445891,  37447410,    100101,  None
37446400,  37447923,    100101,  None
37446910,  37448428,    100101,  None
37447429,  37448954,    100101,  None
37447940,  37449476,    100101,  None
37448459,  37449976,    100101,  Transition
37448960,  37450498,    100101,  Transition
37449486,  37450996,    100101,  Transition
37449987,  37451510,    100101,  Transition
37450504,  37452026,    100101,  Transition
37451012,  37452550,    100101,  Transition
37451526,  37453053,    100101,  Transition
37452040,  37453568,    100101,  Transition
37452558,  37454087,    100101,  Transition
37453073,  37454598,    100101,  Transition
37453584,  37455113,    100101,  Transition
37454100,  37455628,    100101,  Transition
37454616,  37456132,    100101,  None
37455120,  37456656,    100101,  None
37455647,  37457154,    100101,  None
37456159,  37457675,    100101,  None
37456663,  37458186,    100101,  None
37457188,  37458701,    100101,  None
37457685,  37459239,    100101,  Shoulder Radio
37458203,  37459730,    100101,  Shoulder Radio
